Datum,Uhrzeit,Gesamt,Residuallast,Pumpspeicher
01.11.2022,00:00,10561,5336,99
01.11.2022,00:15,10479,5197,123
01.11.2022,00:30,10342,5062,261
01.11.2022,00:45,10372,5075,347
01.11.2022,01:00,10280,4966,216
01.11.2022,01:15,10253,4907,288
01.11.2022,01:30,10174,4807,277
01.11.2022,01:45,10144,4752,395
01.11.2022,02:00,10437,5013,675
01.11.2022,02:15,10484,5042,728
01.11.2022,02:30,10374,4936,792
01.11.2022,02:45,10357,4880,832
01.11.2022,03:00,10455,4972,1072
01.11.2022,03:15,10521,5041,1073
01.11.2022,03:30,10544,5044,1063
01.11.2022,03:45,10484,4989,1074
01.11.2022,04:00,10619,5066,1163
01.11.2022,04:15,10697,5142,1166
01.11.2022,04:30,10819,5210,1137
01.11.2022,04:45,10897,5198,1147
01.11.2022,05:00,11078,5272,967
01.11.2022,05:15,11116,5234,1131
01.11.2022,05:30,11163,5203,1170
01.11.2022,05:45,11243,5179,1110
01.11.2022,06:00,11520,5306,935
01.11.2022,06:15,11661,5274,746
01.11.2022,06:30,11779,5325,621
01.11.2022,06:45,11981,5438,512
01.11.2022,07:00,12077,5348,355
01.11.2022,07:15,12161,5272,291
01.11.2022,07:30,12465,5417,307
01.11.2022,07:45,12719,5461,373
01.11.2022,08:00,12811,5312,414
01.11.2022,08:15,13001,5322,360
01.11.2022,08:30,13173,5220,374
01.11.2022,08:45,13296,5086,368
01.11.2022,09:00,13559,5226,194
01.11.2022,09:15,13530,4978,228
01.11.2022,09:30,13740,4929,322
01.11.2022,09:45,13828,4706,518
01.11.2022,10:00,13871,4464,790
01.11.2022,10:15,14119,4446,867
01.11.2022,10:30,14354,4571,1094
01.11.2022,10:45,14431,4482,1052
01.11.2022,11:00,14561,4307,1161
01.11.2022,11:15,14716,4316,1153
01.11.2022,11:30,14836,4353,1296
01.11.2022,11:45,14869,4365,1310
01.11.2022,12:00,14675,4138,1377
01.11.2022,12:15,14558,4016,1413
01.11.2022,12:30,14500,3969,1405
01.11.2022,12:45,14519,4179,1445
01.11.2022,13:00,14456,4471,1466
01.11.2022,13:15,14143,4445,1407
01.11.2022,13:30,13929,4305,1361
01.11.2022,13:45,13790,4433,1336
01.11.2022,14:00,13821,4737,1301
01.11.2022,14:15,13644,4828,1123
01.11.2022,14:30,13504,5072,899
01.11.2022,14:45,13376,5416,576
01.11.2022,15:00,13379,5822,615
01.11.2022,15:15,13277,6231,400
01.11.2022,15:30,13358,6878,334
01.11.2022,15:45,13304,7367,194
01.11.2022,16:00,13324,7776,160
01.11.2022,16:15,13468,8164,92
01.11.2022,16:30,13424,8241,49
01.11.2022,16:45,13456,8268,43
01.11.2022,17:00,13280,7969,18
01.11.2022,17:15,13931,8493,41
01.11.2022,17:30,14218,8657,40
01.11.2022,17:45,14265,8553,57
01.11.2022,18:00,14298,8449,77
01.11.2022,18:15,14206,8265,78
01.11.2022,18:30,14164,8072,82
01.11.2022,18:45,14072,7881,24
01.11.2022,19:00,13978,7634,70
01.11.2022,19:15,13891,7447,3
01.11.2022,19:30,13797,7274,12
01.11.2022,19:45,13729,7059,33
01.11.2022,20:00,13729,7074,25
01.11.2022,20:15,13484,6785,100
01.11.2022,20:30,13286,6516,81
01.11.2022,20:45,13158,6338,87
01.11.2022,21:00,13097,6274,72
01.11.2022,21:15,12865,6005,121
01.11.2022,21:30,12812,5909,232
01.11.2022,21:45,12798,5825,290
01.11.2022,22:00,12711,5855,55
01.11.2022,22:15,12552,5654,53
01.11.2022,22:30,12349,5452,86
01.11.2022,22:45,12223,5268,198
01.11.2022,23:00,12063,5163,454
01.11.2022,23:15,11892,4953,709
01.11.2022,23:30,11681,4701,1006
01.11.2022,23:45,11557,4645,1120
02.11.2022,00:00,11500,4471,944
02.11.2022,00:15,11496,4351,1139
02.11.2022,00:30,11479,4362,1308
02.11.2022,00:45,11412,4454,1335
02.11.2022,01:00,11237,4133,1153
02.11.2022,01:15,11099,3948,1235
02.11.2022,01:30,11038,3861,1302
02.11.2022,01:45,11047,3851,1352
02.11.2022,02:00,10973,3847,1519
02.11.2022,02:15,10888,3738,1555
02.11.2022,02:30,10855,3634,1565
02.11.2022,02:45,10888,3600,1604
02.11.2022,03:00,10885,3519,1567
02.11.2022,03:15,10899,3440,1580
02.11.2022,03:30,11003,3477,1587
02.11.2022,03:45,11055,3519,1596
02.11.2022,04:00,11261,3728,1607
02.11.2022,04:15,11386,3793,1603
02.11.2022,04:30,11489,3777,1615
02.11.2022,04:45,11707,3887,1549
02.11.2022,05:00,12120,4490,1573
02.11.2022,05:15,12383,4636,1449
02.11.2022,05:30,12664,4707,1284
02.11.2022,05:45,13043,4830,1017
02.11.2022,06:00,13892,5529,819
02.11.2022,06:15,14213,5552,609
02.11.2022,06:30,14559,5959,375
02.11.2022,06:45,14764,5990,285
02.11.2022,07:00,15078,6363,89
02.11.2022,07:15,15416,6680,88
02.11.2022,07:30,15552,6597,106
02.11.2022,07:45,15940,6662,61
02.11.2022,08:00,16298,7025,9
02.11.2022,08:15,16411,6977,8
02.11.2022,08:30,16420,6651,10
02.11.2022,08:45,16464,6339,71
02.11.2022,09:00,16313,5988,85
02.11.2022,09:15,16279,5637,105
02.11.2022,09:30,16427,5451,125
02.11.2022,09:45,16885,5397,357
02.11.2022,10:00,16739,5212,473
02.11.2022,10:15,16877,5033,612
02.11.2022,10:30,17048,4911,803
02.11.2022,10:45,17200,4757,981
02.11.2022,11:00,17550,5168,1094
02.11.2022,11:15,17468,5029,1125
02.11.2022,11:30,17561,5015,1102
02.11.2022,11:45,17639,5033,1096
02.11.2022,12:00,17415,4822,951
02.11.2022,12:15,17324,4872,966
02.11.2022,12:30,17291,4977,970
02.11.2022,12:45,17093,4924,888
02.11.2022,13:00,17009,5128,942
02.11.2022,13:15,16775,5104,655
02.11.2022,13:30,16649,5372,471
02.11.2022,13:45,16310,5366,418
02.11.2022,14:00,16268,5714,570
02.11.2022,14:15,16205,6062,396
02.11.2022,14:30,16150,6567,197
02.11.2022,14:45,16125,7057,140
02.11.2022,15:00,16021,7463,199
02.11.2022,15:15,16270,8381,115
02.11.2022,15:30,15933,8735,35
02.11.2022,15:45,15857,9328,34
02.11.2022,16:00,15967,9856,17
02.11.2022,16:15,15955,10287,17
02.11.2022,16:30,15965,10563,16
02.11.2022,16:45,15909,10617,16
02.11.2022,17:00,16158,11006,3
02.11.2022,17:15,16267,11117,61
02.11.2022,17:30,16345,11144,78
02.11.2022,17:45,16281,10977,77
02.11.2022,18:00,16136,10765,65
02.11.2022,18:15,16052,10639,25
02.11.2022,18:30,16045,10590,67
02.11.2022,18:45,16002,10493,32
02.11.2022,19:00,15958,10294,54
02.11.2022,19:15,15838,10138,100
02.11.2022,19:30,15719,9827,122
02.11.2022,19:45,15641,9685,188
02.11.2022,20:00,15450,9403,160
02.11.2022,20:15,15142,9082,210
02.11.2022,20:30,14872,8767,211
02.11.2022,20:45,14659,8520,273
02.11.2022,21:00,14526,8335,167
02.11.2022,21:15,14265,8066,196
02.11.2022,21:30,13985,7792,329
02.11.2022,21:45,13910,7762,407
02.11.2022,22:00,13719,7793,112
02.11.2022,22:15,13605,7669,105
02.11.2022,22:30,13330,7419,149
02.11.2022,22:45,13186,7347,313
02.11.2022,23:00,12761,6859,129
02.11.2022,23:15,12669,6795,319
02.11.2022,23:30,12659,6813,453
02.11.2022,23:45,12400,6549,582
03.11.2022,00:00,12257,6435,321
03.11.2022,00:15,12223,6318,584
03.11.2022,00:30,12115,6142,816
03.11.2022,00:45,12048,6018,917
03.11.2022,01:00,11930,5834,1008
03.11.2022,01:15,11902,5674,1141
03.11.2022,01:30,11935,5648,1275
03.11.2022,01:45,11806,5535,1252
03.11.2022,02:00,11780,5461,1429
03.11.2022,02:15,11746,5286,1476
03.11.2022,02:30,11777,5260,1537
03.11.2022,02:45,11819,5358,1477
03.11.2022,03:00,11855,5235,1472
03.11.2022,03:15,11851,5196,1499
03.11.2022,03:30,11963,5276,1448
03.11.2022,03:45,11951,5238,1467
03.11.2022,04:00,12057,5307,1551
03.11.2022,04:15,12157,5317,1549
03.11.2022,04:30,12302,5499,1493
03.11.2022,04:45,12542,5724,1464
03.11.2022,05:00,12773,5996,1340
03.11.2022,05:15,12850,6033,1226
03.11.2022,05:30,13131,6271,1074
03.11.2022,05:45,13501,6570,861
03.11.2022,06:00,14362,7154,580
03.11.2022,06:15,14558,7372,315
03.11.2022,06:30,14927,7744,168
03.11.2022,06:45,15130,7946,100
03.11.2022,07:00,15395,8206,110
03.11.2022,07:15,15575,8367,118
03.11.2022,07:30,15785,8506,80
03.11.2022,07:45,15980,8452,81
03.11.2022,08:00,16274,8624,36
03.11.2022,08:15,16353,8527,33
03.11.2022,08:30,16338,8292,53
03.11.2022,08:45,16440,8221,108
03.11.2022,09:00,16449,8086,131
03.11.2022,09:15,16506,8049,127
03.11.2022,09:30,16599,7996,185
03.11.2022,09:45,16694,7969,223
03.11.2022,10:00,16390,7513,114
03.11.2022,10:15,16699,7781,177
03.11.2022,10:30,16786,7806,210
03.11.2022,10:45,16916,7892,182
03.11.2022,11:00,17089,8075,160
03.11.2022,11:15,17187,8293,169
03.11.2022,11:30,17264,8434,231
03.11.2022,11:45,17226,8498,205
03.11.2022,12:00,17173,8540,221
03.11.2022,12:15,17224,8780,204
03.11.2022,12:30,17086,8843,91
03.11.2022,12:45,16991,8876,92
03.11.2022,13:00,16949,9135,13
03.11.2022,13:15,16760,9133,15
03.11.2022,13:30,16468,9061,3
03.11.2022,13:45,16434,9298,4
03.11.2022,14:00,16396,9385,4
03.11.2022,14:15,16400,9551,29
03.11.2022,14:30,16344,9717,2
03.11.2022,14:45,16183,9686,3
03.11.2022,15:00,16317,9811,1
03.11.2022,15:15,16192,9748,2
03.11.2022,15:30,16083,9675,3
03.11.2022,15:45,15993,9545,3
03.11.2022,16:00,16034,9521,7
03.11.2022,16:15,16052,9389,64
03.11.2022,16:30,16015,9165,63
03.11.2022,16:45,16181,9124,61
03.11.2022,17:00,16600,9338,10
03.11.2022,17:15,16856,9433,44
03.11.2022,17:30,17049,9525,43
03.11.2022,17:45,17118,9495,42
03.11.2022,18:00,17106,9454,42
03.11.2022,18:15,16918,9161,43
03.11.2022,18:30,16822,9210,45
03.11.2022,18:45,16785,9199,44
03.11.2022,19:00,16630,9019,105
03.11.2022,19:15,16418,8859,44
03.11.2022,19:30,16183,8764,48
03.11.2022,19:45,16166,8896,12
03.11.2022,20:00,15791,8627,30
03.11.2022,20:15,15481,8370,33
03.11.2022,20:30,15283,8292,32
03.11.2022,20:45,15130,8247,109
03.11.2022,21:00,14911,8103,157
03.11.2022,21:15,14654,8002,159
03.11.2022,21:30,14413,7794,259
03.11.2022,21:45,14250,7658,407
03.11.2022,22:00,13941,7609,174
03.11.2022,22:15,13804,7533,161
03.11.2022,22:30,13606,7407,297
03.11.2022,22:45,13362,7158,676
03.11.2022,23:00,13114,6763,919
03.11.2022,23:15,12923,6708,1080
03.11.2022,23:30,12721,6628,1274
03.11.2022,23:45,12421,6332,1330
04.11.2022,00:00,12280,6074,702
04.11.2022,00:15,12090,5865,747
04.11.2022,00:30,12084,5928,868
04.11.2022,00:45,11995,5944,968
04.11.2022,01:00,11906,5945,949
04.11.2022,01:15,11811,5858,1100
04.11.2022,01:30,11688,5771,1130
04.11.2022,01:45,11518,5561,1137
04.11.2022,02:00,11359,5300,1366
04.11.2022,02:15,11314,5189,1530
04.11.2022,02:30,11446,5309,1457
04.11.2022,02:45,11478,5368,1451
04.11.2022,03:00,11562,5417,1575
04.11.2022,03:15,11629,5365,1683
04.11.2022,03:30,11718,5417,1663
04.11.2022,03:45,11763,5440,1676
04.11.2022,04:00,11815,5618,1442
04.11.2022,04:15,11873,5653,1369
04.11.2022,04:30,12085,5773,1253
04.11.2022,04:45,12288,6026,1157
04.11.2022,05:00,12635,6539,1055
04.11.2022,05:15,12787,6799,888
04.11.2022,05:30,13119,7189,768
04.11.2022,05:45,13477,7619,544
04.11.2022,06:00,14218,8322,470
04.11.2022,06:15,14731,8765,279
04.11.2022,06:30,15013,9137,198
04.11.2022,06:45,15331,9738,136
04.11.2022,07:00,15702,10274,72
04.11.2022,07:15,15922,10610,11
04.11.2022,07:30,16005,10840,6
04.11.2022,07:45,16161,11131,6
04.11.2022,08:00,16212,11314,5
04.11.2022,08:15,16304,11494,18
04.11.2022,08:30,16448,11675,16
04.11.2022,08:45,16532,11720,13
04.11.2022,09:00,16617,11723,5
04.11.2022,09:15,16497,11527,3
04.11.2022,09:30,16670,11647,3
04.11.2022,09:45,16725,11631,3
04.11.2022,10:00,16915,11699,5
04.11.2022,10:15,16860,11581,7
04.11.2022,10:30,16949,11625,7
04.11.2022,10:45,16935,11587,7
04.11.2022,11:00,16834,11553,8
04.11.2022,11:15,16476,11250,7
04.11.2022,11:30,16820,11665,7
04.11.2022,11:45,16809,11635,7
04.11.2022,12:00,16573,11417,6
04.11.2022,12:15,16513,11488,6
04.11.2022,12:30,16566,11620,20
04.11.2022,12:45,16440,11700,20
04.11.2022,13:00,16226,11747,7
04.11.2022,13:15,16171,11797,7
04.11.2022,13:30,15978,11684,7
04.11.2022,13:45,15785,11632,23
04.11.2022,14:00,15553,11545,32
04.11.2022,14:15,15559,11815,4
04.11.2022,14:30,15520,12016,3
04.11.2022,14:45,15458,12173,3
04.11.2022,15:00,15510,12420,3
04.11.2022,15:15,15561,12684,3
04.11.2022,15:30,15310,12653,2
04.11.2022,15:45,15343,12925,2
04.11.2022,16:00,15386,13127,1
04.11.2022,16:15,15504,13350,5
04.11.2022,16:30,15383,13312,43
04.11.2022,16:45,15471,13391,43
04.11.2022,17:00,15771,13646,42
04.11.2022,17:15,16005,13898,41
04.11.2022,17:30,16056,13924,42
04.11.2022,17:45,15913,13753,42
04.11.2022,18:00,15863,13554,34
04.11.2022,18:15,15803,13462,16
04.11.2022,18:30,15678,13333,24
04.11.2022,18:45,15575,13109,52
04.11.2022,19:00,15536,13019,34
04.11.2022,19:15,15360,12836,13
04.11.2022,19:30,15200,12653,57
04.11.2022,19:45,15082,12468,73
04.11.2022,20:00,14984,12322,68
04.11.2022,20:15,14781,12116,114
04.11.2022,20:30,14535,11898,119
04.11.2022,20:45,14282,11612,92
04.11.2022,21:00,14167,11426,9
04.11.2022,21:15,13993,11248,13
04.11.2022,21:30,13795,11044,16
04.11.2022,21:45,13478,10670,163
04.11.2022,22:00,13372,10532,142
04.11.2022,22:15,13143,10299,281
04.11.2022,22:30,12991,10162,238
04.11.2022,22:45,12787,9942,368
04.11.2022,23:00,12471,9598,138
04.11.2022,23:15,12350,9445,224
04.11.2022,23:30,12296,9366,421
04.11.2022,23:45,12138,9145,643
05.11.2022,00:00,11680,8648,85
05.11.2022,00:15,11540,8541,57
05.11.2022,00:30,11351,8321,79
05.11.2022,00:45,11325,8264,175
05.11.2022,01:00,11182,8115,187
05.11.2022,01:15,11178,8104,148
05.11.2022,01:30,11163,8107,117
05.11.2022,01:45,11059,8055,97
05.11.2022,02:00,11034,8046,50
05.11.2022,02:15,11093,8064,128
05.11.2022,02:30,11039,7915,150
05.11.2022,02:45,11071,7920,183
05.11.2022,03:00,11127,7944,277
05.11.2022,03:15,11135,7931,301
05.11.2022,03:30,11105,7910,285
05.11.2022,03:45,11191,8019,234
05.11.2022,04:00,11074,7903,398
05.11.2022,04:15,11100,7901,411
05.11.2022,04:30,11199,7962,378
05.11.2022,04:45,11135,8023,333
05.11.2022,05:00,11111,8092,348
05.11.2022,05:15,11184,8161,301
05.11.2022,05:30,11224,8202,250
05.11.2022,05:45,11282,8274,180
05.11.2022,06:00,11273,8191,212
05.11.2022,06:15,11308,8086,179
05.11.2022,06:30,11459,8201,167
05.11.2022,06:45,11625,8353,193
05.11.2022,07:00,11804,8430,306
05.11.2022,07:15,11922,8557,207
05.11.2022,07:30,12172,8738,122
05.11.2022,07:45,12359,8795,108
05.11.2022,08:00,12528,8932,45
05.11.2022,08:15,12757,9102,25
05.11.2022,08:30,12948,9086,12
05.11.2022,08:45,13085,9010,2
05.11.2022,09:00,13248,9014,2
05.11.2022,09:15,13299,8850,3
05.11.2022,09:30,13378,8726,4
05.11.2022,09:45,13481,8670,6
05.11.2022,10:00,13644,8618,14
05.11.2022,10:15,13541,8450,51
05.11.2022,10:30,13618,8381,47
05.11.2022,10:45,13624,8134,84
05.11.2022,11:00,13665,8024,51
05.11.2022,11:15,13853,8048,49
05.11.2022,11:30,13931,7890,67
05.11.2022,11:45,14054,7834,131
05.11.2022,12:00,14087,7847,139
05.11.2022,12:15,14050,7816,129
05.11.2022,12:30,13957,7696,132
05.11.2022,12:45,13990,7604,167
05.11.2022,13:00,13839,7582,213
05.11.2022,13:15,13714,7667,147
05.11.2022,13:30,13642,7627,41
05.11.2022,13:45,13512,7666,41
05.11.2022,14:00,13476,7951,377
05.11.2022,14:15,13375,8099,374
05.11.2022,14:30,13298,8299,354
05.11.2022,14:45,13349,8587,288
05.11.2022,15:00,13340,8844,211
05.11.2022,15:15,13266,9104,33
05.11.2022,15:30,13176,9374,18
05.11.2022,15:45,13104,9562,51
05.11.2022,16:00,13038,9643,76
05.11.2022,16:15,12985,9672,20
05.11.2022,16:30,13060,9717,36
05.11.2022,16:45,13279,9775,28
05.11.2022,17:00,13620,9830,42
05.11.2022,17:15,13926,9910,154
05.11.2022,17:30,14046,9784,102
05.11.2022,17:45,14093,9646,115
05.11.2022,18:00,14170,9531,49
05.11.2022,18:15,14138,9293,86
05.11.2022,18:30,14080,9122,111
05.11.2022,18:45,13966,8856,129
05.11.2022,19:00,13916,8702,73
05.11.2022,19:15,13722,8393,92
05.11.2022,19:30,13651,8224,116
05.11.2022,19:45,13520,8023,131
05.11.2022,20:00,13300,7667,141
05.11.2022,20:15,13063,7327,115
05.11.2022,20:30,12891,7122,88
05.11.2022,20:45,12749,6964,135
05.11.2022,21:00,12562,6744,142
05.11.2022,21:15,12472,6608,133
05.11.2022,21:30,12338,6423,161
05.11.2022,21:45,12166,6256,199
05.11.2022,22:00,12106,6205,144
05.11.2022,22:15,12066,6108,144
05.11.2022,22:30,11928,5902,145
05.11.2022,22:45,11754,5677,267
05.11.2022,23:00,11607,5537,332
05.11.2022,23:15,11434,5370,454
05.11.2022,23:30,11363,5267,591
05.11.2022,23:45,11338,5256,752
06.11.2022,00:00,11169,5173,185
06.11.2022,00:15,10887,4818,416
06.11.2022,00:30,10709,4577,590
06.11.2022,00:45,10646,4495,794
06.11.2022,01:00,10612,4484,962
06.11.2022,01:15,10516,4288,1232
06.11.2022,01:30,10392,4152,1373
06.11.2022,01:45,10388,4236,1407
06.11.2022,02:00,10130,3809,1350
06.11.2022,02:15,10215,3902,1410
06.11.2022,02:30,10284,3902,1343
06.11.2022,02:45,10310,3899,1363
06.11.2022,03:00,10217,3947,1450
06.11.2022,03:15,10205,3976,1475
06.11.2022,03:30,10325,4120,1466
06.11.2022,03:45,10298,4084,1499
06.11.2022,04:00,10211,4004,1288
06.11.2022,04:15,10181,3942,1288
06.11.2022,04:30,10264,4014,1257
06.11.2022,04:45,10318,4118,1230
06.11.2022,05:00,10519,4384,1466
06.11.2022,05:15,10413,4183,1560
06.11.2022,05:30,10419,4209,1588
06.11.2022,05:45,10411,4240,1538
06.11.2022,06:00,10274,3941,1228
06.11.2022,06:15,10485,4183,1112
06.11.2022,06:30,10497,4262,953
06.11.2022,06:45,10581,4417,787
06.11.2022,07:00,10644,4512,983
06.11.2022,07:15,10706,4554,863
06.11.2022,07:30,10863,4623,758
06.11.2022,07:45,11005,4634,747
06.11.2022,08:00,11164,4653,470
06.11.2022,08:15,11345,4656,473
06.11.2022,08:30,11581,4711,559
06.11.2022,08:45,11826,4614,686
06.11.2022,09:00,12026,4453,512
06.11.2022,09:15,12218,4361,492
06.11.2022,09:30,12379,4314,474
06.11.2022,09:45,12493,4176,538
06.11.2022,10:00,12705,4243,893
06.11.2022,10:15,12887,4256,945
06.11.2022,10:30,13115,4421,1006
06.11.2022,10:45,13211,4418,1038
06.11.2022,11:00,13518,4496,847
06.11.2022,11:15,13704,4655,661
06.11.2022,11:30,13825,4683,712
06.11.2022,11:45,13729,4540,698
06.11.2022,12:00,13498,4268,513
06.11.2022,12:15,13467,4209,508
06.11.2022,12:30,13323,4088,524
06.11.2022,12:45,13249,4126,624
06.11.2022,13:00,13293,4352,1074
06.11.2022,13:15,13072,4365,1115
06.11.2022,13:30,12855,4365,1070
06.11.2022,13:45,12688,4416,861
06.11.2022,14:00,12663,4699,630
06.11.2022,14:15,12591,4964,425
06.11.2022,14:30,12484,5213,201
06.11.2022,14:45,12549,5620,139
06.11.2022,15:00,12561,5968,88
06.11.2022,15:15,12569,6315,87
06.11.2022,15:30,12532,6503,124
06.11.2022,15:45,12609,6761,122
06.11.2022,16:00,12564,6767,13
06.11.2022,16:15,12533,6618,36
06.11.2022,16:30,12709,6569,45
06.11.2022,16:45,12845,6442,45
06.11.2022,17:00,13301,6648,23
06.11.2022,17:15,13620,6717,41
06.11.2022,17:30,13816,6595,41
06.11.2022,17:45,13875,6433,41
06.11.2022,18:00,13979,6322,61
06.11.2022,18:15,13951,6205,79
06.11.2022,18:30,13867,5989,59
06.11.2022,18:45,13808,5889,41
06.11.2022,19:00,13724,5843,42
06.11.2022,19:15,13645,5745,61
06.11.2022,19:30,13415,5457,101
06.11.2022,19:45,13160,5134,109
06.11.2022,20:00,13172,5136,319
06.11.2022,20:15,12865,4782,391
06.11.2022,20:30,12790,4585,381
06.11.2022,20:45,12852,4560,485
06.11.2022,21:00,12566,4213,683
06.11.2022,21:15,12576,4109,613
06.11.2022,21:30,12697,4113,825
06.11.2022,21:45,12760,4118,951
06.11.2022,22:00,12767,4338,610
06.11.2022,22:15,12664,4261,809
06.11.2022,22:30,12476,4021,995
06.11.2022,22:45,12337,3915,1127
06.11.2022,23:00,12175,3892,940
06.11.2022,23:15,12141,3877,971
06.11.2022,23:30,12004,3774,1161
06.11.2022,23:45,11826,3656,1271
07.11.2022,00:00,11503,3733,1554
07.11.2022,00:15,11155,3466,1607
07.11.2022,00:30,10901,3250,1715
07.11.2022,00:45,10852,3330,1704
07.11.2022,01:00,10738,3133,1601
07.11.2022,01:15,10662,3136,1666
07.11.2022,01:30,10569,3176,1680
07.11.2022,01:45,10510,3172,1699
07.11.2022,02:00,10452,3253,1571
07.11.2022,02:15,10327,3079,1630
07.11.2022,02:30,10428,3074,1641
07.11.2022,02:45,10494,3213,1653
07.11.2022,03:00,10460,3172,1685
07.11.2022,03:15,10498,3162,1714
07.11.2022,03:30,10559,3082,1708
07.11.2022,03:45,10719,3234,1675
07.11.2022,04:00,10877,3375,1660
07.11.2022,04:15,10864,3244,1706
07.11.2022,04:30,11053,3289,1677
07.11.2022,04:45,11339,3472,1561
07.11.2022,05:00,11908,3824,1546
07.11.2022,05:15,12273,3969,1520
07.11.2022,05:30,12667,4336,1107
07.11.2022,05:45,13033,4711,743
07.11.2022,06:00,13891,5250,793
07.11.2022,06:15,14393,5720,508
07.11.2022,06:30,14834,6202,211
07.11.2022,06:45,15154,6541,200
07.11.2022,07:00,15481,7041,56
07.11.2022,07:15,15650,7235,32
07.11.2022,07:30,15876,7349,32
07.11.2022,07:45,16077,7414,28
07.11.2022,08:00,16220,7502,10
07.11.2022,08:15,16422,7617,7
07.11.2022,08:30,16518,7555,20
07.11.2022,08:45,16593,7395,36
07.11.2022,09:00,16562,7060,75
07.11.2022,09:15,16663,6844,165
07.11.2022,09:30,16855,6811,400
07.11.2022,09:45,16367,6034,498
07.11.2022,10:00,16059,5517,423
07.11.2022,10:15,16848,6121,538
07.11.2022,10:30,17086,6262,611
07.11.2022,10:45,17166,6187,669
07.11.2022,11:00,17521,6485,715
07.11.2022,11:15,17583,6499,689
07.11.2022,11:30,17538,6462,668
07.11.2022,11:45,17687,6692,577
07.11.2022,12:00,17543,6686,473
07.11.2022,12:15,17460,6823,307
07.11.2022,12:30,17402,7041,216
07.11.2022,12:45,17362,7234,121
07.11.2022,13:00,17331,7552,78
07.11.2022,13:15,17282,7812,67
07.11.2022,13:30,16979,7813,5
07.11.2022,13:45,16849,8089,4
07.11.2022,14:00,16588,8162,20
07.11.2022,14:15,16509,8428,6
07.11.2022,14:30,16396,8712,4
07.11.2022,14:45,16274,8933,1
07.11.2022,15:00,16254,9097,1
07.11.2022,15:15,16177,9290,1
07.11.2022,15:30,16364,9798,1
07.11.2022,15:45,16186,9880,39
07.11.2022,16:00,16184,9914,4
07.11.2022,16:15,15160,8979,6
07.11.2022,16:30,16065,9875,37
07.11.2022,16:45,16276,10111,41
07.11.2022,17:00,16439,10218,6
07.11.2022,17:15,16683,10405,39
07.11.2022,17:30,16816,10412,28
07.11.2022,17:45,16852,10312,17
07.11.2022,18:00,16943,10296,6
07.11.2022,18:15,16667,9954,5
07.11.2022,18:30,16571,9794,11
07.11.2022,18:45,16541,9696,26
07.11.2022,19:00,16594,9743,14
07.11.2022,19:15,16425,9564,12
