Datum,Uhrzeit,Gesamt,Residuallast
01.11.2022,00:00,11860,6610
01.11.2022,00:15,11717,6414
01.11.2022,00:30,11668,6313
01.11.2022,00:45,11608,6201
01.11.2022,01:00,11507,6101
01.11.2022,01:15,11392,5929
01.11.2022,01:30,11312,5794
01.11.2022,01:45,11185,5612
01.11.2022,02:00,11096,5467
01.11.2022,02:15,11055,5364
01.11.2022,02:30,10995,5244
01.11.2022,02:45,11027,5280
01.11.2022,03:00,11015,5280
01.11.2022,03:15,10998,5202
01.11.2022,03:30,11021,5167
01.11.2022,03:45,11018,5105
01.11.2022,04:00,11068,5095
01.11.2022,04:15,11136,5085
01.11.2022,04:30,11236,5109
01.11.2022,04:45,11360,5160
01.11.2022,05:00,11595,5254
01.11.2022,05:15,11657,5154
01.11.2022,05:30,11786,5197
01.11.2022,05:45,11985,5315
01.11.2022,06:00,12378,5492
01.11.2022,06:15,12536,5558
01.11.2022,06:30,12680,5614
01.11.2022,06:45,12829,5682
01.11.2022,07:00,13014,5787
01.11.2022,07:15,13037,5675
01.11.2022,07:30,13160,5640
01.11.2022,07:45,13309,5592
01.11.2022,08:00,13462,5495
01.11.2022,08:15,13623,5386
01.11.2022,08:30,13711,5184
01.11.2022,08:45,13890,5076
01.11.2022,09:00,14099,5003
01.11.2022,09:15,14082,4728
01.11.2022,09:30,14254,4632
01.11.2022,09:45,14381,4554
01.11.2022,10:00,14493,4411
01.11.2022,10:15,14609,4274
01.11.2022,10:30,14825,4248
01.11.2022,10:45,14966,4293
01.11.2022,11:00,15131,4359
01.11.2022,11:15,15116,4207
01.11.2022,11:30,15175,4198
01.11.2022,11:45,15115,4098
01.11.2022,12:00,15078,4032
01.11.2022,12:15,15062,4057
01.11.2022,12:30,14991,4056
01.11.2022,12:45,14894,4069
01.11.2022,13:00,14803,4059
01.11.2022,13:15,14638,4037
01.11.2022,13:30,14479,4114
01.11.2022,13:45,14345,4246
01.11.2022,14:00,14278,4478
01.11.2022,14:15,14199,4735
01.11.2022,14:30,14157,5051
01.11.2022,14:45,14069,5326
01.11.2022,15:00,14082,5744
01.11.2022,15:15,14009,6068
01.11.2022,15:30,13934,6388
01.11.2022,15:45,13872,6694
01.11.2022,16:00,13866,7019
01.11.2022,16:15,13897,7300
01.11.2022,16:30,13983,7582
01.11.2022,16:45,14132,7868
01.11.2022,17:00,14388,8110
01.11.2022,17:15,14613,8247
01.11.2022,17:30,14832,8427
01.11.2022,17:45,14892,8455
01.11.2022,18:00,14928,8453
01.11.2022,18:15,14896,8358
01.11.2022,18:30,14876,8268
01.11.2022,18:45,14816,8125
