Datum,Uhrzeit,Gesamt,
01.11.2022,00:00,11860.00,
01.11.2022,00:15,11717.00,
01.11.2022,00:30,11668.00,
01.11.2022,00:45,11608.00,
01.11.2022,01:00,11507.00,
01.11.2022,01:15,11392.00,
01.11.2022,01:30,11312.00,
01.11.2022,01:45,11185.00,
01.11.2022,02:00,11096.00,
01.11.2022,02:15,11055.00,
01.11.2022,02:30,10995.00,
01.11.2022,02:45,11027.00,
01.11.2022,03:00,11015.00,
01.11.2022,03:15,10998.00,
01.11.2022,03:30,11021.00,
01.11.2022,03:45,11018.00,
01.11.2022,04:00,11068.00,
01.11.2022,04:15,11136.00,
01.11.2022,04:30,11236.00,
01.11.2022,04:45,11360.00,
01.11.2022,05:00,11595.00,
01.11.2022,05:15,11657.00,
01.11.2022,05:30,11786.00,
01.11.2022,05:45,11985.00,
01.11.2022,06:00,12378.00,
01.11.2022,06:15,12536.00,
01.11.2022,06:30,12680.00,
01.11.2022,06:45,12829.00,
01.11.2022,07:00,13014.00,
01.11.2022,07:15,13037.00,
01.11.2022,07:30,13160.00,
01.11.2022,07:45,13309.00,
01.11.2022,08:00,13462.00,
01.11.2022,08:15,13623.00,
01.11.2022,08:30,13711.00,
01.11.2022,08:45,13890.00,
01.11.2022,09:00,14099.00,
01.11.2022,09:15,14082.00,
01.11.2022,09:30,14254.00,
01.11.2022,09:45,14381.00,
01.11.2022,10:00,14493.00,
01.11.2022,10:15,14609.00,
01.11.2022,10:30,14825.00,
01.11.2022,10:45,14966.00,
01.11.2022,11:00,15131.00,
01.11.2022,11:15,15116.00,
01.11.2022,11:30,15175.00,
01.11.2022,11:45,15115.00,
01.11.2022,12:00,15078.00,
01.11.2022,12:15,15062.00,
01.11.2022,12:30,14991.00,
01.11.2022,12:45,14894.00,
01.11.2022,13:00,14803.00,
01.11.2022,13:15,14638.00,
01.11.2022,13:30,14479.00,
01.11.2022,13:45,14345.00,
01.11.2022,14:00,14278.00,
01.11.2022,14:15,14199.00,
01.11.2022,14:30,14157.00,
01.11.2022,14:45,14069.00,
01.11.2022,15:00,14082.00,
01.11.2022,15:15,14009.00,
01.11.2022,15:30,13934.00,
01.11.2022,15:45,13872.00,
01.11.2022,16:00,13866.00,
01.11.2022,16:15,13897.00,
01.11.2022,16:30,13983.00,
01.11.2022,16:45,14132.00,
01.11.2022,17:00,14388.00,
01.11.2022,17:15,14613.00,
01.11.2022,17:30,14832.00,
01.11.2022,17:45,14892.00,
01.11.2022,18:00,14928.00,
01.11.2022,18:15,14896.00,
01.11.2022,18:30,14876.00,
01.11.2022,18:45,14816.00,
01.11.2022,19:00,14752.00,
01.11.2022,19:15,14667.00,
01.11.2022,19:30,14574.00,
01.11.2022,19:45,14447.00,
01.11.2022,20:00,14204.00,
01.11.2022,20:15,14016.00,
01.11.2022,20:30,13821.00,
01.11.2022,20:45,13676.00,
01.11.2022,21:00,13526.00,
01.11.2022,21:15,13402.00,
01.11.2022,21:30,13297.00,
01.11.2022,21:45,13193.00,
01.11.2022,22:00,13153.00,
01.11.2022,22:15,13069.00,
01.11.2022,22:30,12897.00,
01.11.2022,22:45,12765.00,
01.11.2022,23:00,12513.00,
01.11.2022,23:15,12367.00,
01.11.2022,23:30,12216.00,
01.11.2022,23:45,12048.00,
02.11.2022,00:00,12040.00,
02.11.2022,00:15,11912.00,
02.11.2022,00:30,11841.00,
02.11.2022,00:45,11828.00,
02.11.2022,01:00,11694.00,
02.11.2022,01:15,11595.00,
02.11.2022,01:30,11575.00,
02.11.2022,01:45,11462.00,
02.11.2022,02:00,11429.00,
02.11.2022,02:15,11352.00,
02.11.2022,02:30,11343.00,
02.11.2022,02:45,11366.00,
02.11.2022,03:00,11436.00,
02.11.2022,03:15,11479.00,
02.11.2022,03:30,11534.00,
02.11.2022,03:45,11603.00,
02.11.2022,04:00,11756.00,
02.11.2022,04:15,11782.00,
02.11.2022,04:30,11904.00,
02.11.2022,04:45,12067.00,
02.11.2022,05:00,12374.00,
02.11.2022,05:15,12451.00,
02.11.2022,05:30,12665.00,
02.11.2022,05:45,12998.00,
02.11.2022,06:00,13658.00,
02.11.2022,06:15,13932.00,
02.11.2022,06:30,14201.00,
02.11.2022,06:45,14408.00,
02.11.2022,07:00,14766.00,
02.11.2022,07:15,15044.00,
02.11.2022,07:30,15271.00,
02.11.2022,07:45,15401.00,
02.11.2022,08:00,15680.00,
02.11.2022,08:15,15815.00,
02.11.2022,08:30,15917.00,
02.11.2022,08:45,16001.00,
02.11.2022,09:00,15989.00,
02.11.2022,09:15,15998.00,
02.11.2022,09:30,16165.00,
02.11.2022,09:45,16239.00,
02.11.2022,10:00,16313.00,
02.11.2022,10:15,16433.00,
02.11.2022,10:30,16729.00,
02.11.2022,10:45,16853.00,
02.11.2022,11:00,16897.00,
02.11.2022,11:15,16909.00,
02.11.2022,11:30,16971.00,
02.11.2022,11:45,16974.00,
02.11.2022,12:00,16911.00,
02.11.2022,12:15,16857.00,
02.11.2022,12:30,16820.00,
02.11.2022,12:45,16780.00,
02.11.2022,13:00,16744.00,
02.11.2022,13:15,16643.00,
02.11.2022,13:30,16438.00,
02.11.2022,13:45,16294.00,
02.11.2022,14:00,16343.00,
02.11.2022,14:15,16212.00,
02.11.2022,14:30,16090.00,
02.11.2022,14:45,16000.00,
02.11.2022,15:00,15992.00,
02.11.2022,15:15,15844.00,
02.11.2022,15:30,15774.00,
02.11.2022,15:45,15661.00,
02.11.2022,16:00,15589.00,
02.11.2022,16:15,15489.00,
02.11.2022,16:30,15500.00,
02.11.2022,16:45,15555.00,
02.11.2022,17:00,15697.00,
02.11.2022,17:15,15752.00,
02.11.2022,17:30,15883.00,
02.11.2022,17:45,15883.00,
02.11.2022,18:00,15959.00,
02.11.2022,18:15,16021.00,
02.11.2022,18:30,16119.00,
02.11.2022,18:45,16112.00,
02.11.2022,19:00,16040.00,
02.11.2022,19:15,15911.00,
02.11.2022,19:30,15741.00,
02.11.2022,19:45,15532.00,
02.11.2022,20:00,15230.00,
02.11.2022,20:15,14985.00,
02.11.2022,20:30,14776.00,
02.11.2022,20:45,14649.00,
02.11.2022,21:00,14410.00,
02.11.2022,21:15,14217.00,
02.11.2022,21:30,14088.00,
02.11.2022,21:45,13917.00,
02.11.2022,22:00,13764.00,
02.11.2022,22:15,13611.00,
02.11.2022,22:30,13388.00,
02.11.2022,22:45,13212.00,
02.11.2022,23:00,12950.00,
02.11.2022,23:15,12743.00,
02.11.2022,23:30,12618.00,
02.11.2022,23:45,12452.00,
03.11.2022,00:00,12361.00,
03.11.2022,00:15,12269.00,
03.11.2022,00:30,12237.00,
03.11.2022,00:45,12121.00,
03.11.2022,01:00,12033.00,
03.11.2022,01:15,11957.00,
03.11.2022,01:30,11908.00,
03.11.2022,01:45,11818.00,
03.11.2022,02:00,11836.00,
03.11.2022,02:15,11818.00,
03.11.2022,02:30,11802.00,
03.11.2022,02:45,11866.00,
03.11.2022,03:00,11929.00,
03.11.2022,03:15,11962.00,
03.11.2022,03:30,12003.00,
03.11.2022,03:45,12030.00,
03.11.2022,04:00,12138.00,
03.11.2022,04:15,12226.00,
03.11.2022,04:30,12375.00,
03.11.2022,04:45,12562.00,
03.11.2022,05:00,12937.00,
03.11.2022,05:15,13110.00,
03.11.2022,05:30,13404.00,
03.11.2022,05:45,13776.00,
03.11.2022,06:00,14580.00,
03.11.2022,06:15,14847.00,
03.11.2022,06:30,15196.00,
03.11.2022,06:45,15498.00,
03.11.2022,07:00,15810.00,
03.11.2022,07:15,16072.00,
03.11.2022,07:30,16312.00,
03.11.2022,07:45,16429.00,
03.11.2022,08:00,16668.00,
03.11.2022,08:15,16786.00,
03.11.2022,08:30,16865.00,
03.11.2022,08:45,16914.00,
03.11.2022,09:00,16882.00,
03.11.2022,09:15,16858.00,
03.11.2022,09:30,16984.00,
03.11.2022,09:45,17049.00,
03.11.2022,10:00,17138.00,
03.11.2022,10:15,17277.00,
03.11.2022,10:30,17494.00,
03.11.2022,10:45,17566.00,
03.11.2022,11:00,17615.00,
03.11.2022,11:15,17643.00,
03.11.2022,11:30,17681.00,
03.11.2022,11:45,17669.00,
03.11.2022,12:00,17679.00,
03.11.2022,12:15,17628.00,
03.11.2022,12:30,17595.00,
03.11.2022,12:45,17579.00,
03.11.2022,13:00,17519.00,
03.11.2022,13:15,17439.00,
03.11.2022,13:30,17218.00,
03.11.2022,13:45,17049.00,
