Datum,Uhrzeit,Gesamt,,
01.11.2022,00:00,10561.00,,
01.11.2022,00:15,10479.00,,
01.11.2022,00:30,10342.00,,
01.11.2022,00:45,10372.00,,
01.11.2022,01:00,10280.00,,
01.11.2022,01:15,10253.00,,
01.11.2022,01:30,10174.00,,
01.11.2022,01:45,10144.00,,
01.11.2022,02:00,10437.00,,
01.11.2022,02:15,10484.00,,
01.11.2022,02:30,10374.00,,
01.11.2022,02:45,10357.00,,
01.11.2022,03:00,10455.00,,
01.11.2022,03:15,10521.00,,
01.11.2022,03:30,10544.00,,
01.11.2022,03:45,10484.00,,
01.11.2022,04:00,10619.00,,
01.11.2022,04:15,10697.00,,
01.11.2022,04:30,10819.00,,
01.11.2022,04:45,10897.00,,
01.11.2022,05:00,11078.00,,
01.11.2022,05:15,11116.00,,
01.11.2022,05:30,11163.00,,
01.11.2022,05:45,11243.00,,
01.11.2022,06:00,11520.00,,
01.11.2022,06:15,11661.00,,
01.11.2022,06:30,11779.00,,
01.11.2022,06:45,11981.00,,
01.11.2022,07:00,12077.00,,
01.11.2022,07:15,12161.00,,
01.11.2022,07:30,12465.00,,
01.11.2022,07:45,12719.00,,
01.11.2022,08:00,12811.00,,
01.11.2022,08:15,13001.00,,
01.11.2022,08:30,13173.00,,
01.11.2022,08:45,13296.00,,
01.11.2022,09:00,13559.00,,
01.11.2022,09:15,13530.00,,
01.11.2022,09:30,13740.00,,
01.11.2022,09:45,13828.00,,
01.11.2022,10:00,13871.00,,
01.11.2022,10:15,14119.00,,
01.11.2022,10:30,14354.00,,
01.11.2022,10:45,14431.00,,
01.11.2022,11:00,14561.00,,
01.11.2022,11:15,14716.00,,
01.11.2022,11:30,14836.00,,
01.11.2022,11:45,14869.00,,
01.11.2022,12:00,14675.00,,
01.11.2022,12:15,14558.00,,
01.11.2022,12:30,14500.00,,
01.11.2022,12:45,14519.00,,
01.11.2022,13:00,14456.00,,
01.11.2022,13:15,14143.00,,
01.11.2022,13:30,13929.00,,
01.11.2022,13:45,13790.00,,
01.11.2022,14:00,13821.00,,
01.11.2022,14:15,13644.00,,
01.11.2022,14:30,13504.00,,
01.11.2022,14:45,13376.00,,
01.11.2022,15:00,13379.00,,
01.11.2022,15:15,13277.00,,
01.11.2022,15:30,13358.00,,
01.11.2022,15:45,13304.00,,
01.11.2022,16:00,13324.00,,
01.11.2022,16:15,13468.00,,
01.11.2022,16:30,13424.00,,
01.11.2022,16:45,13456.00,,
01.11.2022,17:00,13280.00,,
01.11.2022,17:15,13931.00,,
01.11.2022,17:30,14218.00,,
01.11.2022,17:45,14265.00,,
01.11.2022,18:00,14298.00,,
01.11.2022,18:15,14206.00,,
01.11.2022,18:30,14164.00,,
01.11.2022,18:45,14072.00,,
01.11.2022,19:00,13978.00,,
01.11.2022,19:15,13891.00,,
01.11.2022,19:30,13797.00,,
01.11.2022,19:45,13729.00,,
01.11.2022,20:00,13729.00,,
01.11.2022,20:15,13484.00,,
01.11.2022,20:30,13286.00,,
01.11.2022,20:45,13158.00,,
01.11.2022,21:00,13097.00,,
01.11.2022,21:15,12865.00,,
01.11.2022,21:30,12812.00,,
01.11.2022,21:45,12798.00,,
01.11.2022,22:00,12711.00,,
01.11.2022,22:15,12552.00,,
01.11.2022,22:30,12349.00,,
01.11.2022,22:45,12223.00,,
01.11.2022,23:00,12063.00,,
01.11.2022,23:15,11892.00,,
01.11.2022,23:30,11681.00,,
01.11.2022,23:45,11557.00,,
02.11.2022,00:00,11500.00,,
02.11.2022,00:15,11496.00,,
02.11.2022,00:30,11479.00,,
02.11.2022,00:45,11412.00,,
02.11.2022,01:00,11237.00,,
02.11.2022,01:15,11099.00,,
02.11.2022,01:30,11038.00,,
02.11.2022,01:45,11047.00,,
02.11.2022,02:00,10973.00,,
02.11.2022,02:15,10888.00,,
02.11.2022,02:30,10855.00,,
02.11.2022,02:45,10888.00,,
02.11.2022,03:00,10885.00,,
02.11.2022,03:15,10899.00,,
02.11.2022,03:30,11003.00,,
02.11.2022,03:45,11055.00,,
02.11.2022,04:00,11261.00,,
02.11.2022,04:15,11386.00,,
02.11.2022,04:30,11489.00,,
02.11.2022,04:45,11707.00,,
02.11.2022,05:00,12120.00,,
02.11.2022,05:15,12383.00,,
02.11.2022,05:30,12664.00,,
02.11.2022,05:45,13043.00,,
02.11.2022,06:00,13892.00,,
02.11.2022,06:15,14213.00,,
02.11.2022,06:30,14559.00,,
02.11.2022,06:45,14764.00,,
02.11.2022,07:00,15078.00,,
02.11.2022,07:15,15416.00,,
02.11.2022,07:30,15552.00,,
02.11.2022,07:45,15940.00,,
02.11.2022,08:00,16298.00,,
02.11.2022,08:15,16411.00,,
02.11.2022,08:30,16420.00,,
02.11.2022,08:45,16464.00,,
02.11.2022,09:00,16313.00,,
02.11.2022,09:15,16279.00,,
02.11.2022,09:30,16427.00,,
02.11.2022,09:45,16885.00,,
02.11.2022,10:00,16739.00,,
02.11.2022,10:15,16877.00,,
02.11.2022,10:30,17048.00,,
02.11.2022,10:45,17200.00,,
02.11.2022,11:00,17550.00,,
02.11.2022,11:15,17468.00,,
02.11.2022,11:30,17561.00,,
02.11.2022,11:45,17639.00,,
02.11.2022,12:00,17415.00,,
02.11.2022,12:15,17324.00,,
02.11.2022,12:30,17291.00,,
02.11.2022,12:45,17093.00,,
02.11.2022,13:00,17009.00,,
02.11.2022,13:15,16775.00,,
02.11.2022,13:30,16649.00,,
02.11.2022,13:45,16310.00,,
02.11.2022,14:00,16268.00,,
02.11.2022,14:15,16205.00,,
02.11.2022,14:30,16150.00,,
02.11.2022,14:45,16125.00,,
02.11.2022,15:00,16021.00,,
02.11.2022,15:15,16270.00,,
02.11.2022,15:30,15933.00,,
02.11.2022,15:45,15857.00,,
02.11.2022,16:00,15967.00,,
02.11.2022,16:15,15955.00,,
02.11.2022,16:30,15965.00,,
02.11.2022,16:45,15909.00,,
02.11.2022,17:00,16158.00,,
02.11.2022,17:15,16267.00,,
02.11.2022,17:30,16345.00,,
02.11.2022,17:45,16281.00,,
02.11.2022,18:00,16136.00,,
02.11.2022,18:15,16052.00,,
