Datum,Uhrzeit,Gesamt,Residuallast,Pumpspeicher
1/1/2020,0:00,10964,9363,49
1/1/2020,0:15,10909,9312,65
1/1/2020,0:30,10833,9171,96
1/1/2020,0:45,10788,9065,125
1/1/2020,1:00,10756,9013,95
1/1/2020,1:15,10705,8981,128
1/1/2020,1:30,10615,8859,137
1/1/2020,1:45,10537,8741,221
1/1/2020,2:00,10493,8662,148
1/1/2020,2:15,10423,8580,218
1/1/2020,2:30,10318,8458,232
1/1/2020,2:45,10255,8382,226
1/1/2020,3:00,10181,8326,203
1/1/2020,3:15,10099,8233,226
1/1/2020,3:30,10036,8148,253
1/1/2020,3:45,9987,8055,272
1/1/2020,4:00,10102,8167,406
1/1/2020,4:15,10072,8125,427
1/1/2020,4:30,10073,8113,457
1/1/2020,4:45,10050,8090,512
1/1/2020,5:00,10078,8122,534
1/1/2020,5:15,10012,8064,463
1/1/2020,5:30,10012,8051,525
1/1/2020,5:45,9947,8005,599
1/1/2020,6:00,9760,7833,478
1/1/2020,6:15,9727,7837,476
1/1/2020,6:30,9716,7831,408
1/1/2020,6:45,9763,7892,274
1/1/2020,7:00,9819,7941,262
1/1/2020,7:15,9885,7997,337
1/1/2020,7:30,9877,8013,236
1/1/2020,7:45,9890,8045,175
1/1/2020,8:00,9952,8121,345
1/1/2020,8:15,10003,8133,499
1/1/2020,8:30,10048,8089,498
1/1/2020,8:45,10196,8111,483
1/1/2020,9:00,10379,8086,416
1/1/2020,9:15,10535,8025,417
1/1/2020,9:30,10673,7943,451
1/1/2020,9:45,10902,7886,593
1/1/2020,10:00,11004,7753,652
1/1/2020,10:15,11100,7640,751
1/1/2020,10:30,11224,7576,793
1/1/2020,10:45,11349,7501,798
1/1/2020,11:00,11531,7488,865
1/1/2020,11:15,11667,7464,823
1/1/2020,11:30,11770,7388,791
1/1/2020,11:45,11837,7337,835
1/1/2020,12:00,12008,7461,760
1/1/2020,12:15,12075,7428,687
